timestamp,vessel_count,mean_sog_knots,stopped_ratio,course_dispersion,traffic_density,position_spread_km
2024-01-10T16:40:00Z,172,0.570496,0.903394,0.887112,0.910053,6.658983
2024-01-10T16:45:00Z,180,0.730825,0.90534,0.871792,0.952381,6.556441
2024-01-10T16:50:00Z,183,0.774524,0.9,0.777008,0.968254,6.466337
2024-01-10T16:55:00Z,181,0.611029,0.921569,0.828667,0.957672,6.464495
2024-01-10T17:00:00Z,185,0.501129,0.930023,0.845444,0.978836,6.307378
2024-01-10T17:05:00Z,184,0.506634,0.931204,0.857658,0.973545,6.604822
2024-01-10T17:10:00Z,179,0.239332,0.946015,0.872777,0.94709,6.662325
2024-01-10T17:15:00Z,183,0.255916,0.928074,0.853568,0.968254,6.509865
2024-01-10T17:20:00Z,184,0.372596,0.903846,0.872345,0.973545,6.482461
2024-01-10T17:25:00Z,184,0.402222,0.896296,0.831172,0.973545,6.649043
2024-01-10T17:30:00Z,183,0.553808,0.879607,0.809268,0.968254,6.499003
2024-01-10T17:35:00Z,184,0.399038,0.889423,0.802483,0.973545,6.376699
2024-01-10T17:40:00Z,185,0.430221,0.884521,0.832813,0.978836,6.517793
2024-01-10T17:45:00Z,186,0.506089,0.861827,0.837214,0.984127,6.412466
2024-01-10T17:50:00Z,185,0.629953,0.865566,0.834283,0.978836,6.311561
2024-01-10T17:55:00Z,183,0.9755,0.85,0.854741,0.968254,6.28964
2024-01-10T18:00:00Z,187,1.292026,0.838362,0.834576,0.989418,6.256953
2024-01-10T18:05:00Z,187,1.512471,0.816471,0.840712,0.989418,6.252126
2024-01-10T18:10:00Z,186,1.063902,0.836585,0.83293,0.984127,6.435259
2024-01-10T18:15:00Z,185,0.845309,0.837529,0.820024,0.978836,6.267526
2024-01-10T18:20:00Z,189,0.874074,0.851852,0.837174,1.0,6.264878
2024-01-10T18:25:00Z,187,0.999036,0.853012,0.858236,0.989418,6.295509
2024-01-10T18:30:00Z,183,0.8942,0.844548,0.882689,0.968254,6.345169
2024-01-10T18:35:00Z,191,0.793151,0.883562,0.76279,1.0,6.2359
2024-01-10T18:40:00Z,179,0.821092,0.8933,0.793103,0.94709,6.346442
2024-01-10T18:45:00Z,191,0.721346,0.888631,0.759427,1.0,6.386407
